taxon_id,scientific_name,common_name,kingdom,phylum,class,order,family,genus,taxon_group,threatened_species_body,conservation_status,listed_names,conservation_status_cleaned
82130,Duncanopsammia axifuga,Whisker Coral,Animalia,Cnidaria,Anthozoa,Scleractinia,Dendrophylliidae,Duncanopsammia,"anemones, corals",iucn_red_list,Near Threatened,NA,Near Threatened
92869,Duncanopsammia peltata,"Disc Coral, Cup Coral, Saucer Coral, Vase Coral",Animalia,Cnidaria,Anthozoa,Scleractinia,Dendrophylliidae,Duncanopsammia,"anemones, corals",iucn_red_list,Vulnerable,NA,Vulnerable
86581,Dupucharopa millestriata,land snail,Animalia,Mollusca,Gastropoda,Pulmonata,Charopidae,Dupucharopa,"snails, slugs",iucn_red_list,Vulnerable,NA,Vulnerable
85547,Echinodillo cavaticus,Flinders Island Cave Slater,Animalia,Arthropoda,Malacostraca,Isopoda,Armadillidae,Echinodillo,"crabs, lobsters, shrimps, woodlice",tas_tsp_act,Rare,Echinodillo cavaticus,Rare
87035,Echinomorpha nishihirai,Flat Lettuce Coral,Animalia,Cnidaria,Anthozoa,Scleractinia,Pectiniidae,Echinomorpha,"anemones, corals",iucn_red_list,Near Threatened,NA,Near Threatened
86582,Echinophyllia costata,stony coral,Animalia,Cnidaria,Anthozoa,Scleractinia,Pectiniidae,Echinophyllia,"anemones, corals",iucn_red_list,Vulnerable,NA,Vulnerable
86583,Echinopora ashmorensis,stony coral,Animalia,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Echinopora,"anemones, corals",iucn_red_list,Vulnerable,NA,Vulnerable
82459,Echinopora horrida,Hedgehog Coral,Animalia,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Echinopora,"anemones, corals",iucn_red_list,Near Threatened,NA,Near Threatened
83961,Echinopora mammiformis,Hedgehog Coral,Animalia,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Echinopora,"anemones, corals",iucn_red_list,Near Threatened,NA,Near Threatened
93425,Echinopora pacifica,Hedgehog Coral,Animalia,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Echinopora,"anemones, corals",iucn_red_list,Near Threatened,NA,Near Threatened
88795,Echinopora taylorae,stony coral,Animalia,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Echinopora,"anemones, corals",iucn_red_list,Near Threatened,NA,Near Threatened
85548,Ecnomina vega,Caddis Fly (Macquarie River),Animalia,Arthropoda,Insecta,Trichoptera,Ecnomidae,Ecnomina,insects,tas_tsp_act,Rare,Ecnomina vega,Rare
85622,Ecnomus neboissi,caddisfly,Animalia,Arthropoda,Insecta,Trichoptera,Ecnomidae,Ecnomus,insects,vic_ffg_act_advisory_lists,Vulnerable,Ecnomus neboissi,Vulnerable
86584,Edwardsina gigantea,Giant Torrent Midge,Animalia,Arthropoda,Insecta,Diptera,Blephariceridae,Edwardsina,insects,iucn_red_list,Endangered,NA,Endangered
86585,Edwardsina tasmaniensis,Tasmanian Torrent Midge,Animalia,Arthropoda,Insecta,Diptera,Blephariceridae,Edwardsina,insects,iucn_red_list,Vulnerable,NA,Vulnerable
85549,Enchymus sp. nov.,Weldborough Forest Weevil,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Enchymus,insects,tas_tsp_act,Rare,Enchymus sp. nov.,Rare
85601,Engaeus australis,Lilly Pilly Burrowing Cray,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Engaeus,"crabs, lobsters, shrimps, woodlice",vic_ffg_act_advisory_lists,Critically Endangered,Engaeus australis,Critically Endangered
85601,Engaeus australis,Lilly Pilly Burrowing Cray,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Engaeus,"crabs, lobsters, shrimps, woodlice",iucn_red_list,Near Threatened,NA,Near Threatened
84542,Engaeus curvisuturus,Curve-tail Burrowing Crayfish,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Engaeus,"crabs, lobsters, shrimps, woodlice",vic_ffg_act_advisory_lists,Endangered,Engaeus curvisuturus,Endangered
86591,Engaeus disjuncticus,freshwater crayfish,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Engaeus,"crabs, lobsters, shrimps, woodlice",iucn_red_list,Endangered,NA,Endangered
85602,Engaeus fultoni,Otway Burrowing Cray,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Engaeus,"crabs, lobsters, shrimps, woodlice",vic_ffg_act_advisory_lists,Vulnerable,Engaeus fultoni,Vulnerable
78959,Engaeus granulatus,Central North Burrowing Crayfish,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Engaeus,"crabs, lobsters, shrimps, woodlice",tas_tsp_act,Endangered,Engaeus granulatus,Endangered
78959,Engaeus granulatus,Central North Burrowing Crayfish,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Engaeus,"crabs, lobsters, shrimps, woodlice",iucn_red_list,Critically Endangered,NA,Critically Endangered
85587,Engaeus karnanga,South Gippsland Burrowing Cray,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Engaeus,"crabs, lobsters, shrimps, woodlice",vic_ffg_act_advisory_lists,Endangered,Engaeus karnanga,Endangered
66777,Engaeus mallacoota,Mallacoota Burrowing Crayfish,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Engaeus,"crabs, lobsters, shrimps, woodlice",vic_ffg_act_advisory_lists,Critically Endangered,Engaeus mallacoota,Critically Endangered
66777,Engaeus mallacoota,Mallacoota Burrowing Crayfish,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Engaeus,"crabs, lobsters, shrimps, woodlice",iucn_red_list,Critically Endangered,NA,Critically Endangered
67220,Engaeus martigener,Furneaux Burrowing Crayfish,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Engaeus,"crabs, lobsters, shrimps, woodlice",tas_tsp_act,Vulnerable,Engaeus martigener,Vulnerable
67220,Engaeus martigener,Furneaux Burrowing Crayfish,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Engaeus,"crabs, lobsters, shrimps, woodlice",iucn_red_list,Endangered,NA,Endangered
85588,Engaeus merosetosus,Western Burrowing Cray,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Engaeus,"crabs, lobsters, shrimps, woodlice",vic_ffg_act_advisory_lists,Endangered,Engaeus merosetosus,Endangered
66778,Engaeus orramakunna,Mount Arthur Burrowing Crayfish,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Engaeus,"crabs, lobsters, shrimps, woodlice",tas_tsp_act,Vulnerable,Engaeus orramakunna,Vulnerable
66778,Engaeus orramakunna,Mount Arthur Burrowing Crayfish,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Engaeus,"crabs, lobsters, shrimps, woodlice",iucn_red_list,Near Threatened,NA,Near Threatened
66779,Engaeus phyllocercus,Narracan Burrowing Crayfish,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Engaeus,"crabs, lobsters, shrimps, woodlice",vic_ffg_act_advisory_lists,Endangered,Engaeus phyllocercus,Endangered
66779,Engaeus phyllocercus,Narracan Burrowing Crayfish,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Engaeus,"crabs, lobsters, shrimps, woodlice",iucn_red_list,Endangered,NA,Endangered
81825,Engaeus rostrogaleatus,Strzelecki Burrowing Crayfish,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Engaeus,"crabs, lobsters, shrimps, woodlice",vic_ffg_act_advisory_lists,Endangered,Engaeus rostrogaleatus,Endangered
81825,Engaeus rostrogaleatus,Strzelecki Burrowing Crayfish,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Engaeus,"crabs, lobsters, shrimps, woodlice",iucn_red_list,Vulnerable,NA,Vulnerable
85603,Engaeus sericatus,Hairy Burrowing Cray,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Engaeus,"crabs, lobsters, shrimps, woodlice",vic_ffg_act_advisory_lists,Vulnerable,Engaeus sericatus,Vulnerable
66780,Engaeus spinicaudatus,Scottsdale Burrowing Crayfish,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Engaeus,"crabs, lobsters, shrimps, woodlice",tas_tsp_act,Endangered,Engaeus spinicaudatus,Endangered
66780,Engaeus spinicaudatus,Scottsdale Burrowing Crayfish,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Engaeus,"crabs, lobsters, shrimps, woodlice",iucn_red_list,Critically Endangered,NA,Critically Endangered
66753,Engaeus sternalis,Warragul Burrowing Crayfish,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Engaeus,"crabs, lobsters, shrimps, woodlice",vic_ffg_act_advisory_lists,Critically Endangered,Engaeus sternalis,Critically Endangered
66753,Engaeus sternalis,Warragul Burrowing Crayfish,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Engaeus,"crabs, lobsters, shrimps, woodlice",iucn_red_list,Critically Endangered,NA,Critically Endangered
85604,Engaeus strictifrons,Portland Burrowing Cray,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Engaeus,"crabs, lobsters, shrimps, woodlice",vic_ffg_act_advisory_lists,Endangered,Engaeus strictifrons,Endangered
85589,Engaeus tuberculatus,Tubercle Burrowing Cray,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Engaeus,"crabs, lobsters, shrimps, woodlice",vic_ffg_act_advisory_lists,Endangered,Engaeus tuberculatus,Endangered
84543,Engaeus urostrictus,Dandenong Burrowing Crayfish,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Engaeus,"crabs, lobsters, shrimps, woodlice",vic_ffg_act_advisory_lists,Critically Endangered,Engaeus urostrictus,Critically Endangered
84543,Engaeus urostrictus,Dandenong Burrowing Crayfish,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Engaeus,"crabs, lobsters, shrimps, woodlice",iucn_red_list,Vulnerable,NA,Vulnerable
85590,Engaeus victoriensis,Foothill Burrowing Cray,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Engaeus,"crabs, lobsters, shrimps, woodlice",vic_ffg_act_advisory_lists,Endangered,Engaeus victoriensis,Endangered
85590,Engaeus victoriensis,Foothill Burrowing Cray,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Engaeus,"crabs, lobsters, shrimps, woodlice",iucn_red_list,Near Threatened,NA,Near Threatened
66781,Engaeus yabbimunna,Burnie Burrowing Crayfish,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Engaeus,"crabs, lobsters, shrimps, woodlice",tas_tsp_act,Vulnerable,Engaeus yabbimunna,Vulnerable
66781,Engaeus yabbimunna,Burnie Burrowing Crayfish,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Engaeus,"crabs, lobsters, shrimps, woodlice",iucn_red_list,Vulnerable,NA,Vulnerable
